 Artifact 	 Group 	 Version 	 Repository 	 Description

appfuse-basic-jsf 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a web application with Hibernate, Spring and JSF
appfuse-basic-spring 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a web application with Hibernate, Spring and Spring MVC
appfuse-basic-struts 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a web application with Hibernate, Spring and Struts 2
appfuse-basic-tapestry 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a web application with Hibernate, Spring and Tapestry 4
appfuse-core 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a jar application with Hibernate and Spring and XFire
appfuse-modular-jsf 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a modular application with Hibernate, Spring and JSF
appfuse-modular-spring 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a modular application with Hibernate, Spring and Spring MVC
appfuse-modular-struts 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a modular application with Hibernate, Spring and Struts 2
appfuse-modular-tapestry 	org.appfuse 	2.0-m5 	http://static.appfuse.org/repository 	AppFuse archetype for creating a modular application with Hibernate, Spring and Tapestry 4
maven-archetype-j2ee-simple 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A simple J2EE Java application
maven-archetype-marmalade-mojo 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A Maven plugin development project using marmalade
maven-archetype-mojo 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A Maven Java plugin development project
maven-archetype-portlet 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A simple portlet application
maven-archetype-profiles 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	 
maven-archetype-quickstart 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	 
maven-archetype-simple 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	 
maven-archetype-site-simple 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A simple site generation project
maven-archetype-site 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A more complex site project
maven-archetype-webapp 	org.apache.maven.archetypes 	  	http://repo1.maven.org/maven2 	A simple Java web application
struts2-archetype-starter 	org.apache.struts 	2.0.5-SNAPSHOT 	http://people.apache.org/repo/m2-snapshot-repository 	A starter Struts 2 application with Sitemesh, DWR, and Spring
shale-archetype-blank 	org.apache.shale 	1.0.3-SNAPSHOT 	http://people.apache.org/repo/m2-snapshot-repository 	A blank Shale web application with JSF
maven-adf-archetype 	org.apache.myfaces.adfbuild 	1.0-SNAPSHOT 	http://people.apache.org/repo/m2-snapshot-repository 	Archetype to ease the burden of creating a new application based with ADF
data-app 	net.databinder 	0.4 	http://repo1.maven.org/maven2 	A new Databinder application with sources and resources.
jini-service-archetype 	org.jini.maven-jini-plugin 	2.0 	http://repo1.maven.org/maven2 	Archetype for Jini service project creation
softeu-archetype-seam 	org.apache.maven.archetypes 	  	http://maven.softeu.cz/ 	JSF+Facelets+Seam Archetype
softeu-archetype-seam-simple 	org.apache.maven.archetypes 	  	http://maven.softeu.cz/ 	JSF+Facelets+Seam (no persistence) Archetype
softeu-archetype-jsf 	org.apache.maven.archetypes 	  	http://maven.softeu.cz/ 	JSF+Facelets Archetype
jpa-maven-archetype 	com.rfc.maven.archetypes 	  	http://maven.rodcoffin.com/repo 	JPA application
spring-osgi-bundle-archetype 	org.springframework.osgi 	1.0-SNAPSHOT 	http://static.springframework.org/maven2-snapshots 	Spring-OSGi archetype
